,Name,Infected score,Noninfected score,Out score
16,data\Images\24 hpi_24 hpi08.04.2021 NLFK nucleolin r488 A3B10 m546 DAPI CPV 24 hpi .lif - TileScan 4_78.tiff,0.9873641,0.010072611,0.0025632496
17,data\Images\24 hpi_24 hpi08.04.2021 NLFK nucleolin r488 A3B10 m546 DAPI CPV 24 hpi .lif - TileScan 4_79.tiff,0.9976065,0.0010595141,0.0013339408
18,data\Images\24 hpi_24 hpi08.04.2021 NLFK nucleolin r488 A3B10 m546 DAPI CPV 24 hpi .lif - TileScan 4_80.tiff,0.9985349,0.000575051,0.0008900255
19,data\Images\24 hpi_24 hpi08.04.2021 NLFK nucleolin r488 A3B10 m546 DAPI CPV 24 hpi .lif - TileScan 4_81.tiff,0.9802737,0.019001978,0.00072428235
20,data\Images\24 hpi_24 hpi08.04.2021 NLFK nucleolin r488 A3B10 m546 DAPI CPV 24 hpi .lif - TileScan 4_82.tiff,0.98457044,0.012811879,0.002617754
21,data\Images\24 hpi_24 hpi08.04.2021 NLFK nucleolin r488 A3B10 m546 DAPI CPV 24 hpi continues.lif - TileScan 1_28.tiff,0.9992545,0.00014123444,0.00060419505
22,data\Images\24 hpi_24 hpi08.04.2021 NLFK nucleolin r488 A3B10 m546 DAPI CPV 24 hpi continues.lif - TileScan 1_29.tiff,0.99633694,0.0032073306,0.00045567992
23,data\Images\24 hpi_24 hpi08.04.2021 NLFK nucleolin r488 A3B10 m546 DAPI CPV 24 hpi continues.lif - TileScan 1_30.tiff,0.98947716,0.008195836,0.0023269693
24,data\Images\24 hpi_24 hpi08.04.2021 NLFK nucleolin r488 A3B10 m546 DAPI CPV 24 hpi continues.lif - TileScan 1_31.tiff,0.99789053,3.6600188e-05,0.0020728102
25,data\Images\24 hpi_24 hpi08.04.2021 NLFK nucleolin r488 A3B10 m546 DAPI CPV 24 hpi continues.lif - TileScan 1_32.tiff,0.5137392,0.47409743,0.012163332
26,data\Images\24 hpi_24 hpi08.04.2021 NLFK nucleolin r488 A3B10 m546 DAPI CPV 24 hpi continues.lif - TileScan 1_33.tiff,0.9758197,0.021526402,0.0026538735
27,data\Images\24 hpi_24 hpi08.04.2021 NLFK nucleolin r488 A3B10 m546 DAPI CPV 24 hpi continues.lif - TileScan 1_34.tiff,0.9982035,0.00069743773,0.0010989902
28,data\Images\24 hpi_24 hpi08.04.2021 NLFK nucleolin r488 A3B10 m546 DAPI CPV 24 hpi continues.lif - TileScan 1_35.tiff,0.9912936,0.005808363,0.0028980717
29,data\Images\24 hpi_24 hpi08.04.2021 NLFK nucleolin r488 A3B10 m546 DAPI CPV 24 hpi continues.lif - TileScan 1_36.tiff,0.99711454,0.0007287352,0.0021567487
30,data\Images\24 hpi_24 hpi08.04.2021 NLFK nucleolin r488 A3B10 m546 DAPI CPV 24 hpi continues.lif - TileScan 1_37.tiff,0.9993206,0.00037192128,0.00030745857
31,data\Images\24 hpi_24 hpi08.04.2021 NLFK nucleolin r488 A3B10 m546 DAPI CPV 24 hpi continues.lif - TileScan 1_38.tiff,0.90931606,0.089446016,0.0012379127
32,data\Images\24 hpi_24 hpi08.04.2021 NLFK nucleolin r488 A3B10 m546 DAPI CPV 24 hpi continues.lif - TileScan 1_39.tiff,0.97259754,0.025374407,0.0020280892
33,data\Images\24 hpi_24 hpi08.04.2021 NLFK nucleolin r488 A3B10 m546 DAPI CPV 24 hpi continues.lif - TileScan 1_40.tiff,0.98364383,0.0123045975,0.0040516034
34,data\Images\24 hpi_24 hpi08.04.2021 NLFK nucleolin r488 A3B10 m546 DAPI CPV 24 hpi continues.lif - TileScan 1_41.tiff,0.99219805,0.0037760572,0.0040258225
35,data\Images\24 hpi_24 hpi08.04.2021 NLFK nucleolin r488 A3B10 m546 DAPI CPV 24 hpi continues.lif - TileScan 1_42.tiff,0.9917888,0.007420065,0.00079121883
36,data\Images\24 hpi_24 hpi08.04.2021 NLFK nucleolin r488 A3B10 m546 DAPI CPV 24 hpi continues.lif - TileScan 1_43.tiff,0.9835813,0.01356497,0.0028536858
37,data\Images\24hpi_001.tiff,0.89142936,0.10637872,0.0021920041
38,data\Images\24hpi_002.tiff,0.2616684,0.73621047,0.0021211414
39,data\Images\24hpi_003.tiff,0.9497085,0.04490545,0.005386045
40,data\Images\24hpi_004.tiff,0.92157745,0.07690501,0.0015175452
41,data\Images\24hpi_005.tiff,0.07956598,0.9194235,0.0010104504
42,data\Images\24hpi_006.tiff,0.7196183,0.2679378,0.0124437995
43,data\Images\24hpi_007.tiff,0.41255772,0.5840758,0.0033664927
44,data\Images\24hpi_009.tiff,0.94396687,0.054348197,0.0016848735
45,data\Images\24hpi_010.tiff,0.9495824,0.047016837,0.0034007812
46,data\Images\24hpi_011.tiff,0.017982038,0.97904015,0.0029777307
47,data\Images\24hpi_012.tiff,0.9961039,0.0011433664,0.00275277
48,data\Images\24hpi_013.tiff,0.41238737,0.57554895,0.0120637175
49,data\Images\24hpi_014.tiff,0.9084835,0.09031066,0.0012058273
50,data\Images\24hpi_016.tiff,0.9842943,0.010494858,0.005210863
51,data\Images\24hpi_017.tiff,0.97437286,0.018599132,0.0070280735
52,data\Images\24hpi_020.tiff,0.9640138,0.017125538,0.018860688
53,data\Images\24hpi_021.tiff,0.998784,0.00030749047,0.00090851716
54,data\Images\24hpi_022.tiff,0.9936837,0.0031537276,0.0031625084
55,data\Images\24hpi_023.tiff,0.99068004,0.008780015,0.00053994486
56,data\Images\24hpi_024.tiff,0.9686307,0.026205033,0.005164291
57,data\Images\24hpi_025.tiff,0.9836134,0.015050791,0.0013357514
58,data\Images\24hpi_026.tiff,0.961995,0.032969333,0.005035715
59,data\Images\24hpi_027.tiff,0.7645267,0.2340235,0.0014497571
60,data\Images\24hpi_028.tiff,0.99480045,0.0038915172,0.0013079884
61,data\Images\24hpi_029.tiff,0.9686655,0.02811296,0.0032216057
62,data\Images\24hpi_030.tiff,0.99061126,0.0065774117,0.0028113592
63,data\Images\24hpi_031.tiff,0.9915978,0.0066391076,0.0017630429
64,data\Images\24hpi_033.tiff,0.99655485,0.0020609302,0.0013842133
65,data\Images\24hpi_034.tiff,0.9762635,0.0157188,0.008017677
66,data\Images\24hpi_036.tiff,0.9919071,0.006016539,0.0020763543
67,data\Images\24hpi_037.tiff,0.9523736,0.043457426,0.004168901
68,data\Images\24hpi_038.tiff,0.9413406,0.05507339,0.0035859672
69,data\Images\24hpi_040.tiff,0.88577384,0.11159045,0.002635669
70,data\Images\24hpi_041.tiff,0.99916387,0.00033224595,0.0005039645
71,data\Images\30hpi_001.tiff,0.9658568,0.032100484,0.002042792
72,data\Images\30hpi_002.tiff,0.99148893,0.004075068,0.004435936
73,data\Images\30hpi_003.tiff,0.99182194,0.005305345,0.0028727301
74,data\Images\30hpi_004.tiff,0.99745315,0.00088303187,0.0016638986
75,data\Images\30hpi_006.tiff,0.973573,0.016930057,0.0094968695
76,data\Images\30hpi_007.tiff,0.9989784,0.00039627467,0.0006253733
